ADAL,0,
ADAR,0,
ADEL,0,
ADER,0,
ADFL,0,
ADFR,0,
ADLL,0,
ADLR,0,
AFDL,0,
AFDR,0,
AIAL,0,
AIAR,0,
AIBL,0,
AIBR,0,
AIML,0,
AIMR,0,
AINL,0,
AINR,0,
AIYL,0,
AIYR,0,
AIZL,0,
AIZR,0,
ALA,0,
ALML,0,
ALMR,0,
ALNL,0,
ALNR,0,
AQR,0,
AS1,0,
AS10,0,
AS11,0,
AS2,0,
AS3,0,
AS4,0,
AS5,0,
AS6,0,
AS7,0,
AS8,0,
AS9,0,
ASEL,0,
ASER,0,
ASGL,0,
ASGR,0,
ASHL,0,
ASHR,0,
ASIL,0,
ASIR,0,
ASJL,0,
ASJR,0,
ASKL,0,
ASKR,0,
AUAL,0,
AUAR,0,
AVAL,0,
AVAR,0,
AVBL,0,
AVBR,0,
AVDL,0,
AVDR,0,
AVEL,0,
AVER,0,
AVFL,0,
AVFR,0,
AVG,0,
AVHL,0,
AVHR,0,
AVJL,0,
AVJR,0,
AVKL,0,
AVKR,0,
AVL,10,VD12,PVPR,HSNR,PVWL,SABVL,SABD,AVEL,DD6,SABVR,DD1
AVM,0,
AWAL,0,
AWAR,0,
AWBL,0,
AWBR,0,
AWCL,0,
AWCR,0,
BAGL,0,
BAGR,0,
BDUL,8,URADL,SAADL,AVHL,HSNL,AVJR,PVNR,PVNL,ADEL
BDUR,11,AVJL,AVAL,ADER,PVNL,ALMR,SDQL,URADR,PVNR,PVCL,HSNR,AVHL
CANL,0,
CANR,0,
CEPDL,0,
CEPDR,0,
CEPVL,0,
CEPVR,0,
DA1,0,
DA2,0,
DA3,0,
DA4,0,
DA5,0,
DA6,0,
DA7,0,
DA8,0,
DA9,0,
DB1,0,
DB2,0,
DB3,0,
DB4,0,
DB5,0,
DB6,0,
DB7,0,
DD1,2,DA2,VD2
DD2,3,VD3,DA3,VD4
DD3,0,
DD4,0,
DD5,0,
DD6,0,
DVA,32,DB3,AVER,SABD,RIMR,SMBDL,SAAVL,AVEL,RIAR,PVCR,SMBVR,SMBDR,AIZL,AUAL,AVAR,VA2,SMBVL,DB2,PVCL,AQR,VB1,AVAL,VB11,VA12,AVBL,DB7,RIR,RIAL,PVR,SAAVR,SAADR,AUAR,DB4
DVB,7,DA8,AVL,PDA,DD6,PVPL,DVC,PHCL
DVC,13,RIBL,AVAR,PVT,RIGR,RMFR,RMFL,RIBR,AVAL,RIGL,AIBL,AVKL,AIBR,AVBL
FLPL,0,
FLPR,0,
HSNL,0,
HSNR,0,
I1L,0,
I1R,0,
I2L,0,
I2R,0,
I3,0,
I4,0,
I5,0,
I6,0,
IL1DL,0,
IL1DR,0,
IL1L,0,
IL1R,0,
IL1VL,0,
IL1VR,0,
IL2DL,0,
IL2DR,0,
IL2L,0,
IL2R,0,
IL2VL,0,
IL2VR,0,
LUAL,0,
LUAR,0,
M1,0,
M2L,0,
M2R,0,
M3L,0,
M3R,0,
M4,0,
M5,0,
MCL,0,
MCR,0,
MI,0,
NSML,0,
NSMR,0,
OLLL,0,
OLLR,0,
OLQDL,0,
OLQDR,0,
OLQVL,0,
OLQVR,0,
PDA,0,
PDB,0,
PDEL,0,
PDER,0,
PHAL,0,
PHAR,0,
PHBL,0,
PHBR,0,
PHCL,0,
PHCR,0,
PLML,0,
PLMR,0,
PLNL,0,
PLNR,0,
PQR,0,
PVCL,0,
PVCR,0,
PVDL,0,
PVDR,0,
PVM,0,
PVNL,0,
PVNR,0,
PVPL,0,
PVPR,0,
PVQL,0,
PVQR,0,
PVR,0,
PVT,0,
PVWL,0,
PVWR,0,
RIAL,14,RMDDL,SIADL,RIAR,SMDDR,RMDVL,RIVL,RMDDR,SMDVL,RMDVR,SMDVR,RMDL,SMDDL,RMDR,RIVR
RIAR,17,RMDR,RMDL,SMDVL,RMDVL,SMDDL,RIAL,RMDDR,IL1R,CEPVR,RIVL,SMDVR,SIAVL,SIADR,SMDDR,RMDVR,SAADR,RMDDL
RIBL,0,
RIBR,0,
RICL,0,
RICR,0,
RID,4,DA6,DD2,VD5,DD1
RIFL,0,
RIFR,0,
RIGL,0,
RIGR,0,
RIH,0,
RIML,0,
RIMR,0,
RIPL,0,
RIPR,0,
RIR,0,
RIS,18,AVEL,CEPVL,URYVR,RMDL,OLLR,AVKL,SMDDR,RIBL,SMDVR,AVKR,RMDR,AVL,RIMR,CEPVR,AVER,RMDDL,RIBR,RIML
RIVL,6,SMDDR,RMDL,RIAL,RIAR,SIAVR,SAADR
RIVR,9,RMDVR,RIAL,RMDR,SAADL,SMDVR,RMDDL,RIAR,SIAVL,SMDDL
RMDDL,0,
RMDDR,0,
RMDL,0,
RMDR,0,
RMDVL,0,
RMDVR,0,
RMED,2,RIBR,RIBL
RMEL,0,
RMER,0,
RMEV,1,SMDDR
RMFL,0,
RMFR,0,
RMGL,0,
RMGR,0,
RMHL,0,
RMHR,0,
SAADL,0,
SAADR,0,
SAAVL,0,
SAAVR,0,
SABD,0,
SABVL,0,
SABVR,0,
SDQL,0,
SDQR,0,
SIADL,0,
SIADR,0,
SIAVL,0,
SIAVR,0,
SIBDL,0,
SIBDR,0,
SIBVL,0,
SIBVR,0,
SMBDL,0,
SMBDR,0,
SMBVL,0,
SMBVR,0,
SMDDL,0,
SMDDR,0,
SMDVL,0,
SMDVR,0,
URADL,0,
URADR,0,
URAVL,0,
URAVR,0,
URBL,0,
URBR,0,
URXL,0,
URXR,0,
URYDL,0,
URYDR,0,
URYVL,0,
URYVR,0,
